Year,MeanTempAnomaly_C
1880,-0.12
1881,-0.07
1882,-0.10
1883,-0.16
1884,-0.27
1885,-0.31
1886,-0.20
1887,-0.28
1888,-0.14
1889,-0.10
1890,-0.35
1891,-0.23
1892,-0.27
1893,-0.31
1894,-0.31
1895,-0.16
1896,-0.10
1897,-0.11
1898,-0.26
1899,-0.17
1900,-0.09
1901,-0.16
1902,-0.24
1903,-0.34
1904,-0.44
1905,-0.27
1906,-0.22
1907,-0.37
1908,-0.42
1909,-0.47
1910,-0.42
1911,-0.44
1912,-0.35
1913,-0.34
1914,-0.13
1915,-0.09
1916,-0.33
1917,-0.43
1918,-0.26
1919,-0.24
1920,-0.25
1921,-0.14
1922,-0.25
1923,-0.23
1924,-0.26
1925,-0.20
1926,-0.11
1927,-0.21
1928,-0.19
1929,-0.38
1930,-0.13
1931,-0.12
1932,-0.18
1933,-0.28
1934,-0.11
1935,-0.20
1936,-0.17
1937,-0.01
1938,-0.01
1939,-0.03
1940,0.07
1941,0.16
1942,0.11
1943,0.13
1944,0.20
1945,0.09
1946,-0.01
1947,-0.01
1948,-0.07
1949,-0.05
1950,-0.17
1951,-0.05
1952,-0.03
1953,0.08
1954,-0.14
1955,-0.15
1956,-0.21
1957,0.03
1958,0.06
1959,0.03
1960,-0.02
1961,0.07
1962,0.04
1963,0.10
1964,-0.20
1965,-0.11
1966,-0.06
1967,-0.02
1968,-0.06
1969,0.07
1970,0.02
1971,-0.10
1972,0.01
1973,0.15
1974,-0.09
1975,-0.01
1976,-0.12
1977,0.18
1978,0.07
1979,0.16
1980,0.26
1981,0.31
1982,0.14
1983,0.30
1984,0.15
1985,0.12
1986,0.19
1987,0.33
1988,0.38
1989,0.27
1990,0.43
1991,0.41
1992,0.22
1993,0.24
1994,0.32
1995,0.42
1996,0.33
1997,0.48
1998,0.61
1999,0.41
2000,0.42
2001,0.55
2002,0.62
2003,0.61
2004,0.54
2005,0.67
2006,0.62
2007,0.61
2008,0.54
2009,0.64
2010,0.70
2011,0.58
2012,0.63
2013,0.65
2014,0.74
2015,0.89
2016,0.99
2017,0.91
2018,0.83
2019,0.95
2020,1.02
2021,0.84
2022,0.89
